CustomerID,Name,Email,PurchaseDate,Product,Quantity,UnitPrice,TotalAmount
CUST00001,James Parker Jr.,lorimatthews@example.net,24/11/2020,Router,2,80,160
CUST00001,James Parker Jr.,lorimatthews@example.net,24/11/2020,Router,2,80,160
CUST00003,Margaret Weaver,vbutler@example.org,11/11/2015,Smartwatch,1,200,-2
CUST00004,Eric Vega,ubarnes@example.org,18/1/2024,Laptop,1,1000,3000
CUST00005,Alyssa Smith,goodmannichole@example.org,30/6/2024,Tablet,2,400,800
CUST00006,Scott Vargas,kevin01@example.com,23/8/2019,Router,1,80,80
CUST00007,Christopher Williams,jorgewhitaker@example.net,28/9/2016,Printer,3,250,750
CUST00009,Shannon Nelson,billyburnett@example.com,2/2/2024,Tablet,2,400,800
CUST00012,Kathryn Horn,juan21@example.org,14/9/2015,Router,5,80,400
CUST00013,Adrian Bowers,pittsstephanie@example.com,27/6/2022,Smartwatch,2,200,400
CUST00014,Jennifer Johnson,dickersonjerry@example.org,17/6/2017,Camera,1,500,500
CUST00015,Mary Mathews,,28/10/2021,Camera,1,500,500
CUST00016,Jonathan Frazier,wpeterson@example.net,13/10/2020,Microphone,3,130,390
CUST00017,Dominique Lynch,justinanderson@example.net,7/12/2017,Tablet,5,400,2000
CUST00018,James Ferguson,roger20@example.org,1/12/2015,Monitor,2,300,-600
CUST00019,Hunter Wright,icunningham@example.com,4/1/2020,Speaker,4,180,720
CUST00020,David Campbell,,5/4/2021,Laptop,1,1000,4000
CUST00021,Shelly Williams,walter15@example.net,8/9/2015,Smartwatch,5,200,1000
CUST00022,Richard Wagner,mendozajason@example.org,8/3/2018,Tablet,5,400,2000
CUST00023,Richard Kelley,moralesshane@example.org,18/5/2022,Mouse,1,50,50
CUST00024,Randy Rodriguez,emilylittle@example.org,8/3/2015,Monitor,3,300,900
CUST00025,Patricia Hernandez,andrea45@example.org,26/6/2019,Keyboard,1,100,100
CUST00026,Randall Mitchell,shortdestiny@example.org,25/10/2019,Tablet,3,400,1200
CUST00027,Jim Carter,madisoncaldwell@example.net,10/1/2019,Camera,1,500,500
CUST00028,Abigail Schneider,chandlerclinton@example.com,14/9/2024,Laptop,1,1000,2000
CUST00029,Stephanie Brown,michaellee@example.net,25/2/2015,Router,5,80,400
CUST00030,Gina Taylor,markking@example.net,16/4/2024,Smartphone,2,700,1400
CUST00031,Michael Smith,sophiachapman@example.net,9/2/2016,Tablet,2,400,800
CUST00032,,ysmith@example.com,21/11/2016,Microphone,5,130,650
CUST00033,Rebecca Smith,ywaller@example.org,8/2/2015,External Hard Drive,1,120,120
CUST00034,Christopher Bailey,micheleshaw@example.org,11/2/2019,Camera,1,500,500
CUST00035,Stephanie Shea,sosawalter@example.net,11/10/2019,Microphone,5,130,650
CUST00036,Alicia Marks,,7/7/2021,Router,3,80,240
CUST00037,Tyler Wright,jesse93@example.com,1/1/2016,Tablet,1,400,400
CUST00038,Caleb Murillo,williamsjackson@example.com,10/1/2022,Smartphone,3,700,2100
CUST00039,Steven Adams,charles00@example.com,5/6/2017,Mouse,5,50,250
CUST00040,Sharon Schmidt,bthomas@example.org,6/1/2019,Smartwatch,1,200,200
CUST00041,Jacob Moody,qcox@example.net,2/2/2016,Speaker,1,180,180
CUST00042,Daniel Thomas,jamesmccormick@example.net,14/1/2022,Smartphone,4,700,2800
CUST00043,Andrew Medina,andersonlindsey@example.com,20/9/2021,Speaker,4,180,720
CUST00044,Karen Mcmahon,hsmith@example.com,9/6/2024,USB Flash Drive,5,20,100
CUST00045,Megan Jensen,timothyperez@example.com,28/8/2015,Printer,2,250,500
CUST00046,Eileen Smith,lisafitzpatrick@example.com,3/7/2020,Printer,1,250,250
CUST00047,Sabrina Chavez,gnelson@example.org,1/12/2017,Speaker,2,180,360
CUST00048,Emily Silva,wcohen@example.net,24/6/2024,External Hard Drive,1,120,240
CUST00049,Christopher Bryant,bentonjohnny@example.org,12/11/2016,Mouse,1,50,50
CUST00050,Raymond Solis,qhuff@example.org,24/1/2021,Router,4,80,320
CUST00051,Anthony Brown,jbeard@example.net,5/5/2019,Smartwatch,5,200,1000
CUST00052,Melissa Allen,debramoss@example.org,13/10/2021,Laptop,1,1000,1000
CUST00053,Melissa Gilmore,brandon29@example.net,19/7/2024,Microphone,2,130,260
CUST00054,Tyler Howard,kelly41@example.org,4/10/2020,Headphones,5,150,750
CUST00055,Jessica Welch DDS,jacob99@example.org,2/2/2016,Keyboard,5,100,500
CUST00056,Joe Taylor,angelagarcia@example.com,31/8/2019,USB Flash Drive,2,20,40
CUST00057,Kevin Francis DVM,allisonbuchanan@example.org,14/12/2021,Monitor,1,300,300
CUST00058,Tammy Terry,gmueller@example.org,1/5/2021,Headphones,1,150,150
CUST00059,Teresa Allen,colinbowman@example.org,4/7/2022,Microphone,4,130,520
CUST00060,Kelly Morris,lwashington@example.com,12/8/2024,USB Flash Drive,2,20,40
CUST00061,Steven Hernandez,alicia05@example.org,4/11/2015,Headphones,3,150,450
CUST00062,Kristine Hanson,robert30@example.org,11/1/2017,Smartwatch,3,200,600
CUST00063,Daniel Nunez,allenalejandro@example.net,15/10/2024,USB Flash Drive,2,20,40
CUST00064,Philip Tucker,kimberly67@example.com,5/10/2018,USB Flash Drive,1,20,20
CUST00065,Kristina Gutierrez,emilyvargas@example.com,12/10/2015,Printer,5,250,1250
CUST00066,Brian Barrett,lrichards@example.com,16/7/2018,Smartphone,1,700,700
CUST00067,Jose Lewis,hmalone@example.net,22/7/2015,Laptop,1,1000,1000
CUST00068,Jody Olson,heatherellis@example.org,1/4/2017,Router,1,80,80
CUST00069,Sarah Richardson,michellehughes@example.net,13/12/2017,Monitor,3,300,900
CUST00070,Steven Carter,mjuarez@example.org,10/5/2015,Printer,5,250,1250
CUST00071,Cheryl Williamson,ywright@example.net,28/5/2020,Monitor,1,300,300
CUST00072,Edward Thompson,tsharp@example.net,26/11/2021,Router,2,80,160
CUST00073,Jonathan Brown,dustinacosta@example.org,20/8/2024,Printer,3,250,750
CUST00074,Alan Chandler,carrcourtney@example.com,15/4/2019,Speaker,3,180,540
CUST00075,David Jennings,reginaramirez@example.org,18/5/2021,Printer,5,250,1250
CUST00075,David Jennings,reginaramirez@example.org,22/3/2015,Speaker,1,180,180
CUST00077,Victoria Patel,johnsongregory@example.org,1/4/2020,Monitor,1,300,300
CUST00078,Michael Ramirez,stephanie96@example.com,4/7/2022,Smartwatch,4,200,800
CUST00079,Nicole Tran,mark56@example.org,10/11/2023,Speaker,1,180,180
CUST00080,Kelli Weiss,debrasanchez@example.org,30/7/2022,Headphones,1,150,150
CUST00081,Jorge Mendoza,jcollins@example.org,2/9/2024,Router,4,80,320
CUST00082,Matthew Butler,robert67@example.net,19/2/2018,Smartphone,3,700,2100
CUST00083,Alex Wilkerson,monteswhitney@example.com,16/12/2016,Tablet,4,400,1600
CUST00084,Kenneth Gonzalez,sean85@example.com,8/1/2023,Laptop,1,1000,2000
CUST00085,Jordan Clark,adixon@example.com,26/10/2021,Microphone,2,130,260
CUST00086,Paul Clark,benjamin32@example.com,8/8/2022,USB Flash Drive,2,20,40
CUST00087,Melissa Ellis,hernandezjennifer@example.net,21/7/2017,Headphones,1,150,150
CUST00088,Cynthia Ewing,michaelmarshall@example.com,18/8/2023,Keyboard,2,100,200
CUST00089,Joshua Mueller,williamslisa@example.org,12/2/2016,Printer,4,250,1000
CUST00090,Dustin Harper,burnettcarrie@example.com,25/12/2018,Headphones,1,150,150
CUST00091,Joseph Gonzalez,wileyjessica@example.net,16/10/2016,Microphone,3,130,390
CUST00092,Peter Ross,george85@example.org,6/4/2021,Printer,1,250,250
CUST00093,Kim Smith,zachary10@example.org,19/8/2020,Monitor,2,300,600
CUST00094,Zachary Lara,michaelmartin@example.net,10/1/2022,USB Flash Drive,2,20,40
CUST00095,William Snyder,sedwards@example.com,10/4/2024,Smartphone,4,700,2800
CUST00096,Kenneth Hutchinson,sarah72@example.net,18/4/2020,Smartwatch,1,200,200
CUST00097,Michael Moss,thomas22@example.com,25/7/2024,USB Flash Drive,2,20,40
CUST00098,Wesley Lin,amandaruiz@example.org,18/11/2018,Monitor,1,300,300
CUST00099,Phillip Stephens,smoore@example.com,14/12/2022,USB Flash Drive,4,20,80
CUST00100,Regina Thompson,danderson@example.com,14/11/2021,USB Flash Drive,1,20,20
CUST00101,Mary Smith,christinasanders@example.net,30/4/2021,External Hard Drive,1,120,360
CUST00102,Kathleen Reyes,qelliott@example.net,22/11/2018,Camera,1,500,500
CUST00103,Nicole Cortez,ashleydavis@example.org,17/2/2021,Speaker,1,180,180
CUST00104,Jason Silva,hwolfe@example.net,28/4/2021,USB Flash Drive,2,20,40
CUST00105,Brett Bryant,xburke@example.com,4/7/2023,Router,4,80,320
CUST00106,Amy Young,whitemary@example.org,13/9/2022,Tablet,1,400,400
CUST00107,David Cole,amandachurch@example.com,22/12/2014,External Hard Drive,1,120,360
CUST00108,Caroline Mason,yconley@example.com,31/7/2023,Monitor,3,300,900
CUST00109,Austin Campbell,campbelldennis@example.org,14/3/2016,Router,3,80,240
CUST00110,Eric Mosley,jennifer97@example.net,18/6/2023,Speaker,5,180,90000
CUST00111,Phillip Turner,amy90@example.net,6/6/2022,Camera,1,500,500
CUST00112,Kenneth Thompson,levykayla@example.org,22/2/2017,USB Flash Drive,2,20,40
CUST00113,Sarah Kim,zimmermanmargaret@example.com,20/3/2017,Smartphone,1,700,700
CUST00114,Anita Cox,ebony90@example.org,23/1/2020,USB Flash Drive,2,20,40
CUST00115,Aaron Hopkins Jr.,robert88@example.com,30/11/2022,Camera,1,500,500
CUST00116,Meghan Ellison,butlerricky@example.org,16/9/2020,Monitor,5,300,1500
CUST00117,George Hansen,vosborn@example.com,17/11/2017,External Hard Drive,1,120,480
CUST00118,Michael Allen,joel48@example.com,27/2/2016,Speaker,5,180,900
CUST00119,Jessica Moore,jessicawebb@example.com,18/10/2018,Printer,3,250,750
CUST00120,John Cruz,dunnmegan@example.com,24/10/2019,Router,2,80,160
CUST00121,Jennifer Smith,emma84@example.com,7/4/2021,External Hard Drive,1,120,360
CUST00122,Scott Williams,smcdonald@example.net,19/4/2016,Mouse,2,50,100
CUST00123,Jesse Hansen,murrayshannon@example.org,6/10/2022,USB Flash Drive,2,20,40
CUST00124,Thomas Garner,gregorywillis@example.net,20/8/2018,Speaker,5,180,900
CUST00125,Christopher Thomas,jonathan75@example.net,8/11/2019,Mouse,4,50,200
CUST00126,Thomas Grimes,shelleyphillips@example.net,19/12/2015,Speaker,1,180,180
CUST00127,Steven Mann,justinnavarro@example.org,18/10/2016,Microphone,4,130,520
CUST00128,Tracy Kelly,jordan92@example.com,15/1/2019,Keyboard,2,100,200
CUST00129,David Jackson,michael73@example.net,29/7/2021,Tablet,2,400,800
CUST00130,Tracy Wise,blang@example.com,8/6/2018,Laptop,1,1000,4000
CUST00131,Christopher Griffin,howardsarah@example.net,31/8/2023,Smartwatch,3,200,600
CUST00132,Joshua Mckinney,jamesknapp@example.net,5/8/2016,Keyboard,5,100,500
CUST00133,Robert Pennington,kimseth@example.org,8/12/2023,Mouse,3,50,150
CUST00134,Jacqueline Myers,frank32@example.com,24/8/2024,Mouse,1,50,50
CUST00135,Whitney Foley PhD,lisa27@example.org,30/5/2017,Camera,1,500,500
CUST00136,Veronica Horn,clewis@example.com,12/3/2018,Smartphone,5,700,3500
CUST00137,Michael Morgan,anthonywalker@example.com,10/1/2017,Printer,4,250,1000
CUST00138,Eric Taylor,xbrown@example.com,5/3/2018,Tablet,1,400,400
CUST00139,Steven Simpson,stephen08@example.com,23/10/2019,Router,5,80,400
CUST00140,Lawrence Carson,chavezgregory@example.net,23/12/2015,Laptop,1,1000,5000
CUST00141,Renee Cox,austinmorales@example.org,7/1/2023,Tablet,2,400,800
CUST00142,Diane Compton,dthomas@example.com,28/4/2020,Headphones,5,150,750
CUST00143,Haley Harper,zturner@example.net,22/4/2015,Microphone,5,130,650
CUST00144,Amanda Drake,smithalison@example.net,3/7/2018,Printer,4,250,1000
CUST00145,Jake Jones,dkennedy@example.net,19/8/2021,Camera,1,500,500
CUST00146,Jeremy Day,hfisher@example.com,15/10/2023,Microphone,1,130,130
CUST00147,Nicole Moody,jamesnguyen@example.com,22/1/2021,Keyboard,5,100,500
CUST00148,James Gill,jennamedina@example.com,23/8/2017,Keyboard,2,100,200
CUST00149,David Wilson,cbishop@example.net,17/11/2019,Tablet,2,400,800
CUST00150,Elizabeth Cervantes,tbowman@example.com,15/3/2019,Monitor,1,300,300
CUST00151,Janice Nielsen,boydholly@example.net,27/11/2022,USB Flash Drive,2,20,40
CUST00152,Samantha Short,oneillanna@example.net,8/8/2022,USB Flash Drive,3,20,60
CUST00153,Elizabeth Carter,dsmith@example.org,19/3/2019,Headphones,5,150,750
CUST00154,Jennifer Huff,franklinrandy@example.net,17/11/2020,Camera,1,500,500
CUST00155,Lindsay Dyer,wwillis@example.net,2/7/2021,Smartwatch,1,200,200
CUST00156,Julia Sweeney,payers@example.net,4/6/2015,Camera,1,500,500
CUST00157,Rodney Turner,andersonnatalie@example.net,10/6/2024,Mouse,4,50,200
CUST00158,Katie Hammond,uavila@example.com,19/2/2021,Smartwatch,1,200,200
CUST00159,Scott Parsons,cody82@example.com,4/8/2017,Smartphone,4,700,2800
CUST00160,Anthony Lee,wongvictoria@example.net,24/4/2020,Mouse,1,50,50
CUST00161,Michael James,lcox@example.org,16/11/2017,Microphone,3,130,390
CUST00162,Michaela Reed,brandon22@example.net,15/9/2019,Camera,1,500,500
CUST00163,Mark Jensen,duarterobert@example.org,4/4/2022,Printer,1,250,250
CUST00164,George Stokes,stephanie41@example.org,6/2/2023,External Hard Drive,1,120,120
CUST00165,Samantha Wilkinson,rkeller@example.net,2/4/2019,External Hard Drive,1,120,480
CUST00166,Kathryn Hess,kayers@example.net,7/9/2021,Mouse,4,50,200
CUST00167,Gina Matthews MD,lisathompson@example.com,26/1/2016,Smartphone,3,700,2100
CUST00168,Christina Alexander,djones@example.com,10/8/2015,Tablet,4,400,1600
CUST00169,Richard Cruz,kellydavid@example.org,20/2/2020,Monitor,2,300,600
CUST00170,Amanda Nguyen DDS,hudsondesiree@example.com,21/2/2017,Smartwatch,2,200,400
CUST00171,James May,ebranch@example.net,7/5/2020,Smartphone,1,700,700
CUST00172,Jasmine Powers,marissa88@example.com,7/8/2024,Monitor,1,300,300
CUST00173,Jose Roach,ahubbard@example.net,8/12/2020,Headphones,2,150,300
CUST00174,Kendra Coffey,andersonmaria@example.com,26/1/2015,Keyboard,2,100,200
CUST00175,Sherry Watkins,andrewsmith@example.net,5/6/2021,Laptop,1,1000,3000
CUST00176,Jordan Kelly,kristopher44@example.org,14/6/2021,Headphones,5,150,750
CUST00177,Kimberly Carter,wsmith@example.net,14/6/2020,Microphone,3,130,390
CUST00178,William Powell,tim29@example.net,27/12/2018,Tablet,2,400,800
